ec50_am,ec50_lm,efficacy
0.17,0.73,0.9967
0.17,0.75,0.9972
0.17,0.77,0.9959
0.17,0.79,0.9952
0.17,0.81,0.9951
0.17,0.8300000000000001,0.9956
0.17,0.85,0.9949
0.17,0.87,0.9936
0.17,0.89,0.9948
0.17,0.91,0.9935
0.17,0.93,0.9932
0.17,0.9500000000000001,0.9925
0.17,0.97,0.992
0.17,0.99,0.9919
0.17,1.01,0.9926
0.17,1.03,0.991
0.17,1.05,0.9914
0.17,1.07,0.992
0.17,1.09,0.9904
0.17,1.11,0.9904
0.17,1.1300000000000001,0.989
0.17,1.1500000000000001,0.9898
0.17,1.17,0.9882
0.17,1.19,0.9893
0.17,1.21,0.989
0.17,1.23,0.9905
0.17,1.25,0.9894
0.17,1.27,0.9897
0.17,1.29,0.9883
0.17,1.31,0.9868
0.17,1.33,0.9869
0.17,1.35,0.9893
0.17,1.37,0.9875
0.17,1.3900000000000001,0.9862
0.17,1.4100000000000001,0.9851
0.17,1.43,0.9869
0.17,1.45,0.9868
0.17,1.47,0.9864
0.17,1.49,0.9852
0.17,1.51,0.9853
0.17,1.53,0.9848
0.17,1.55,0.9845
0.17,1.57,0.9858
0.17,1.59,0.985
0.17,1.61,0.9856
0.17,1.6300000000000001,0.9845
0.17,1.6500000000000001,0.9855
0.17,1.6700000000000002,0.9833
0.17,1.69,0.984
0.17,1.71,0.9836
0.17,1.73,0.9823
0.17,1.75,0.9816
0.17,1.77,0.9829
0.17,1.79,0.9838
0.17,1.81,0.9834
0.17,1.83,0.9829
0.17,1.85,0.9853
0.17,1.87,0.9834
0.17,1.8900000000000001,0.9834
0.17,1.9100000000000001,0.984
0.17,1.93,0.984
0.17,1.95,0.9837
0.17,1.97,0.9831
0.17,1.99,0.983
0.19,0.01,0.9999
0.19,0.03,0.9998
0.19,0.05,0.9998
0.19,0.06999999999999999,0.9998
0.19,0.09,0.9999
0.19,0.11,1.0
0.19,0.13,0.9999
0.19,0.15000000000000002,0.9997
0.19,0.17,1.0
0.19,0.19,1.0
0.19,0.21000000000000002,0.9997
0.19,0.23,0.9998
0.19,0.25,0.9996
0.19,0.27,0.9996
0.19,0.29000000000000004,0.9991
0.19,0.31,0.9997
0.19,0.33,0.9991
0.19,0.35000000000000003,0.9998
0.19,0.37,0.9993
0.19,0.39,0.9987
0.19,0.41000000000000003,0.9987
0.19,0.43,0.9988
0.19,0.45,0.9989
0.19,0.47000000000000003,0.9995
0.19,0.49,0.9988
0.19,0.51,0.9991
0.19,0.53,0.9982
